名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
孟氏杂货铺,购物消费,便利店,121.148818,31.345609,上海市,上海市,嘉定区,121.1442389124805,31.347462454835618
休闲渔具专卖店,购物消费,其他,121.149081,31.346618,上海市,上海市,嘉定区,121.14450229853944,31.348471552513885
重庆渝涛物流上海分公司,生活服务,物流,121.153376,31.346777,上海市,上海市,嘉定区,121.14880520730225,31.348637919968926
陈质物流,生活服务,物流,121.154428,31.347128,上海市,上海市,嘉定区,121.14985916854602,31.34899066096313
上海大昌铜业有限责任公司,公司企业,公司,121.15431,31.346905,上海市,上海市,嘉定区,121.14974096349569,31.34876752780843
海强超市,购物消费,便利店,121.148063,31.346408,上海市,上海市,嘉定区,121.1434824930001,31.34825991145978
Gree美的品牌专卖,购物消费,家电数码,121.148936,31.345456,上海市,上海市,嘉定区,121.14435713786182,31.34730970674122
上海小李饲料店站,购物消费,其他,121.147999,31.346084,上海市,上海市,嘉定区,121.14341840710244,31.347935915676548
果园,购物消费,市场,121.148905,31.345348,上海市,上海市,嘉定区,121.14432609143105,31.347201691576718
上海译宣铝业有限责任公司,购物消费,家居建材,121.153034,31.346681,上海市,上海市,嘉定区,121.14846257219978,31.34854135123451
海燕批发店,购物消费,便利店,121.147556,31.346223,上海市,上海市,嘉定区,121.14297460911435,31.348074128937515
上海欧嘉汽车修理有限责任公司,公司企业,公司,121.149383,31.344909,上海市,上海市,嘉定区,121.144804991464,31.34676365225473
上海欧嘉汽车修理有限责任公司,餐饮美食,其他,121.149356,31.344851,上海市,上海市,嘉定区,121.14477794765372,31.346705626444113
望新农药经销部,购物消费,其他,121.148206,31.346504,上海市,上海市,嘉定区,121.14362573953315,31.348356118008706
雅敏杂货铺,购物消费,便利店,121.147938,31.346606,上海市,上海市,嘉定区,121.14335725349424,31.348457634474784
惠欣烟酒经销部,购物消费,其他,121.148996,31.346638,上海市,上海市,嘉定区,121.14441714369448,31.34849140189471
新农村商业网点,生活服务,其他,121.145914,31.334425,上海市,上海市,嘉定区,121.14133075465116,31.336277555633007
欧嘉接待服务中心,生活服务,其他,121.150068,31.345553,上海市,上海市,嘉定区,121.14549117946218,31.34740859711781
美尔多服装超市,购物消费,其他,121.150119,31.346977,上海市,上海市,嘉定区,121.14554214939167,31.348832195253014
上海荆众金属制品有限责任公司,公司企业,公司,121.154155,31.337815,上海市,上海市,嘉定区,121.1495864538536,31.339680415808594
欧嘉汽车美容养护站,汽车相关,汽车养护,121.149879,31.346173,上海市,上海市,嘉定区,121.14530178179506,31.348028061145122
詹俊门业,购物消费,家居建材,121.148836,31.34573,上海市,上海市,嘉定区,121.1442569343667,31.347583443570457
望新小学停车场,交通设施,停车场,121.146961,31.347211,上海市,上海市,嘉定区,121.14237847492328,31.349060803474096
上海门业,购物消费,家居建材,121.148781,31.345565,上海市,上海市,嘉定区,121.14420184981992,31.347418407563094
上海利炬涂料有限责任公司,公司企业,公司,121.149922,31.344422,上海市,上海市,嘉定区,121.14534501131797,31.346277737851334
娟秀杂货铺,购物消费,便利店,121.151225,31.33952,上海市,上海市,嘉定区,121.14665082242348,31.341379684038667
周泾村,商务住宅,其他,121.154168,31.338086,上海市,上海市,嘉定区,121.14959945512962,31.339951343183202
安慰百货市场,购物消费,便利店,121.147523,31.34723,上海市,上海市,嘉定区,121.14294146367888,31.349080728734098
台丰地坪,公司企业,公司,121.150814,31.343313,上海市,上海市,嘉定区,121.14623873809056,31.345170651024628
时兴杂货铺,购物消费,便利店,121.149956,31.347042,上海市,上海市,嘉定区,121.1453788468032,31.348896894456374
邓禄普轮胎店,汽车相关,汽车配件,121.148985,31.346659,上海市,上海市,嘉定区,121.1444061220755,31.348512376097172
霞霞杂货铺,购物消费,便利店,121.149968,31.347135,上海市,上海市,嘉定区,121.14539086061151,31.348989883094895
为兵杂货铺,购物消费,便利店,121.147735,31.346788,上海市,上海市,嘉定区,121.14315387733015,31.348639233203077
上海轩枞装饰,公司企业,公司,121.149782,31.346104,上海市,上海市,嘉定区,121.14520461143935,31.347958919447635
黄沙、水泥、石子、砖,购物消费,家居建材,121.148367,31.345742,上海市,上海市,嘉定区,121.14378709283886,31.347594649932397
上海译豪铝业有限责任公司,购物消费,家居建材,121.154318,31.346898,上海市,上海市,嘉定区,121.14974897929973,31.348760544407995
鹏亮环氧地坪,购物消费,家居建材,121.147511,31.346362,上海市,上海市,嘉定区,121.14292951750123,31.34821300634535
外冈镇养老院,休闲娱乐,度假养老,121.149,31.34624,上海市,上海市,嘉定区,121.144421185295,31.348093545265872
棉布店,购物消费,家居建材,121.150545,31.347268,上海市,上海市,嘉定区,121.14596890288942,31.349123825669153
上海苇亦汽车服务有限责任公司,汽车相关,汽车销售,121.149024,31.34667,上海市,上海市,嘉定区,121.14444519135037,31.348523438260624
上海泾淼工程设备有限责任公司,公司企业,公司,121.149946,31.343803,上海市,上海市,嘉定区,121.1453691084765,31.345658992953393
