名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
新华路口袋生态公园,旅游景点,公园,121.425799,31.203235,上海市,上海市,长宁区,121.4211648649883,31.205107840320085
德必法华525,商务住宅,写字楼,121.425534,31.205174,上海市,上海市,长宁区,121.42089936434031,31.207045615466097
德必法华525,商务住宅,产业园,121.425523,31.205161,上海市,上海市,长宁区,121.42088835176932,31.2070326103254
鸿申商务楼地下专用停车场,交通设施,停车场,121.424647,31.206543,上海市,上海市,长宁区,121.42001116080779,31.208413040803748
昂立学生公寓,商务住宅,宿舍,121.42678,31.206351,上海市,上海市,长宁区,121.42214685506532,31.208223377270617
法华镇路435弄-路侧停车场,交通设施,停车场,121.426561,31.206594,上海市,上海市,长宁区,121.42192754803612,31.208466019463803
云阳花苑内部地面停车场,交通设施,停车场,121.425422,31.207075,上海市,上海市,长宁区,121.42078705977177,31.208945573779697
新华儿科诊所,医疗保健,诊所,121.42637,31.208125,上海市,上海市,长宁区,121.42173616757974,31.20999606879387
上海利星汽车维修有限责任公司延安西路分公司,汽车相关,汽车销售,121.424978,31.210502,上海市,上海市,长宁区,121.42034221623008,31.212370457141933
COLUMBIA CIRCLE,购物消费,文体用品,121.42712,31.209954,上海市,上海市,长宁区,121.42248699053437,31.21182500642045
COLUMBIA CIRCLE,商务住宅,住宅区,121.427134,31.209946,上海市,上海市,长宁区,121.42250100984103,31.211817025889303
COLUMBIA CIRCLE,商务住宅,产业园,121.427127,31.209932,上海市,上海市,长宁区,121.42249400175197,31.21180302485437
和平社区,商务住宅,住宅区,121.431865,31.208836,上海市,上海市,长宁区,121.42723897703434,31.21071332888218
CAS BAR,休闲娱乐,酒吧,121.431021,31.20853,上海市,上海市,长宁区,121.42639369346591,31.21040637682973
百年孤独千年一叹代运营民宿,酒店住宿,其他,121.43089,31.209331,上海市,上海市,长宁区,121.42626242375574,31.211206820946387
Club Roza,休闲娱乐,其他,121.43139,31.208041,上海市,上海市,长宁区,121.42676330429349,31.20991809114576
然筠图文广告,生活服务,其他,121.429516,31.209638,上海市,上海市,长宁区,121.42488635153259,31.211511955331655
海通期货,金融机构,投资理财,121.42959,31.210146,上海市,上海市,长宁区,121.42496041505643,31.212019800135536
YUNIK HOTEL,酒店住宿,其他,121.429578,31.211516,上海市,上海市,长宁区,121.4249482784594,31.21338912429945
