名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
FriendCare宠物乐学园&豪华酒店,购物消费,其他,121.48783,31.095868,上海市,上海市,闵行区,121.48336659015246,31.097933579702502
FriendCare宠物乐学园&豪华酒店,科教文化,其他,121.487784,31.095845,上海市,上海市,闵行区,121.4833204299061,31.09791045620245
Kitty Park猫半岛,购物消费,其他,121.488464,31.093554,上海市,上海市,闵行区,121.48400302503879,31.095622763474246
灸和源艾灸推拿理疗店,生活服务,洗浴推拿,121.488051,31.095997,上海市,上海市,闵行区,121.4835883588346,31.098063162948907
智而乐教育,科教文化,培训单位,121.48663,31.092973,上海市,上海市,闵行区,121.48216261408382,31.09503665666036
淘宠无忧,购物消费,其他,121.489859,31.093787,上海市,上海市,闵行区,121.48540294685883,31.095859787526496
锦相生活馆,生活服务,摄影打印,121.488284,31.094192,上海市,上海市,闵行区,121.48382233486424,31.096259869565245
儿童综合成长中心,科教文化,培训单位,121.488505,31.093522,上海市,上海市,闵行区,121.48404417267058,31.09559090335752
元气喵喵·曼基康矮脚·猫舍,购物消费,其他,121.485749,31.094367,上海市,上海市,闵行区,121.48127840838345,31.096427274646864
众冉纱窗,购物消费,家居建材,121.488093,31.096013,上海市,上海市,闵行区,121.48363050571247,31.09807927863202
昂庄五金建材店,购物消费,家居建材,121.48782,31.095895,上海市,上海市,闵行区,121.48335655259406,31.097960534875007
陈行孙介杂货铺,购物消费,便利店,121.481901,31.08847,上海市,上海市,闵行区,121.47741756887372,31.09052237105441
修改衣服,生活服务,其他,121.490846,31.091061,上海市,上海市,闵行区,121.4863936874236,31.093138273704824
照相广告,生活服务,其他,121.483396,31.088708,上海市,上海市,闵行区,121.47891770257587,31.09076457554811
金姆健康生活馆,生活服务,其他,121.488128,31.093388,上海市,上海市,闵行区,121.4836658523413,31.09545585882318
上海塘口大药店,医疗保健,医药销售,121.482462,31.088663,上海市,上海市,闵行区,121.47798048184646,31.09071688639979
浦江坤庭接待处,生活服务,其他,121.490535,31.090418,上海市,上海市,闵行区,121.48608163522186,31.092494706192632
上海德闵置业有限责任公司,公司企业,公司,121.484319,31.088475,上海市,上海市,闵行区,121.47984392346363,31.09053440167442
方唐文学,科教文化,培训单位,121.486673,31.093011,上海市,上海市,闵行区,121.48220576181012,31.095074762253688
上海金跃汽车修理工厂,汽车相关,汽车维修,121.482095,31.088233,上海市,上海市,闵行区,121.47761225562994,31.090286066304696
大友汽车养护站,汽车相关,汽车养护,121.485697,31.0954,上海市,上海市,闵行区,121.48122613863953,31.097459540767872
上海魏翔实业有限责任公司,购物消费,家居建材,121.482966,31.088821,上海市,上海市,闵行区,121.47848620653755,31.090876260386334
洗车店房,汽车相关,洗车,121.482202,31.088331,上海市,上海市,闵行区,121.4777196152176,31.090384320669045
沪新百货商行,购物消费,便利店,121.48223,31.088271,上海市,上海市,闵行区,121.47774771664403,31.090324435691876
潮艺染烫,生活服务,美容理发,121.48162,31.088253,上海市,上海市,闵行区,121.47713562308671,31.09030468184037
