名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
高安入舍,酒店住宿,旅馆,121.444165,31.205543,上海市,上海市,徐汇区,121.43956236961223,31.20744136637227
上海张园豪华酒店式公寓,酒店住宿,其他,121.445419,31.206557,上海市,上海市,徐汇区,121.44081904313626,31.208457198196054
古叶书社,购物消费,其他,121.444204,31.205631,上海市,上海市,徐汇区,121.43960144677918,31.20752939490681
珈琲豆專門店,餐饮美食,咖啡,121.442055,31.206686,上海市,上海市,徐汇区,121.43744778822082,31.20858003631594
潘兴公寓,商务住宅,住宅区,121.441899,31.20663,上海市,上海市,徐汇区,121.43729146995213,31.208523791533878
上海懒悠悠特色民宿,酒店住宿,其他,121.446394,31.203365,上海市,上海市,徐汇区,121.44179651606593,31.205268604552977
举茗邑,购物消费,其他,121.445983,31.205384,上海市,上海市,徐汇区,121.4413844100799,31.207285834810104
上海FitRoom米娅公寓,酒店住宿,其他,121.446364,31.203373,上海市,上海市,徐汇区,121.44176644715216,31.20527654318239
华康大楼内部专用停车场,交通设施,停车场,121.443157,31.204122,上海市,上海市,徐汇区,121.43855232561228,31.2060192347016
Compass 咖啡,餐饮美食,咖啡,121.442671,31.207212,上海市,上海市,徐汇区,121.43806502972728,31.209106864263838
懒悠悠精品民宿,酒店住宿,其他,121.446383,31.203382,上海市,上海市,徐汇区,121.44178548957458,31.205285575168176
潘苏美甲,生活服务,美容理发,121.445621,31.20321,上海市,上海市,徐汇区,121.44102178461351,31.20511221078805
谷馥芮咖啡烘焙店,餐饮美食,咖啡,121.445178,31.203027,上海市,上海市,徐汇区,121.44057781269143,31.204928468433426
甲午同庚千龄会聚会地旧址,旅游景点,其他,121.444525,31.205072,上海市,上海市,徐汇区,121.4399231957928,31.20697125723575
谷馥芮咖啡厅&Bistrot,餐饮美食,其他,121.445195,31.203028,上海市,上海市,徐汇区,121.4405948503456,31.204929499727793
珈琲光景咖啡厅 Lumiere,餐饮美食,咖啡,121.443068,31.207466,上海市,上海市,徐汇区,121.43846284664916,31.209361447223774
衡山路站,生活服务,美容理发,121.446081,31.204445,上海市,上海市,徐汇区,121.44148271274274,31.206347479141076
上海Lisa123公寓,酒店住宿,其他,121.446171,31.205314,上海市,上海市,徐汇区,121.44157284111282,31.207216226833104
咖啡光景,餐饮美食,咖啡,121.443121,31.207506,上海市,上海市,徐汇区,121.4385159557382,31.209401522568204
彩丰楼中餐厅,餐饮美食,中国菜,121.446089,31.205185,上海市,上海市,徐汇区,121.44149066673174,31.207087133430694
ANDet vinyl bistro,餐饮美食,其他,121.442409,31.207052,上海市,上海市,徐汇区,121.43780249398023,31.208946479283956
豪华精选酒店停车场,交通设施,停车场,121.445318,31.20507,上海市,上海市,徐汇区,121.44071794689867,31.20697073269694
叮咚买菜,购物消费,市场,121.446636,31.203684,上海市,上海市,徐汇区,121.44203904023331,31.20558791336004
