名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
vivo,购物消费,家电数码,121.282221,31.330288,上海市,上海市,嘉定区,121.2777608691355,31.33226305496485
秀芳杂货铺,购物消费,便利店,121.282272,31.329676,上海市,上海市,嘉定区,121.27781184815387,31.331651217243696
宅馨居,商务住宅,其他,121.281851,31.330788,上海市,上海市,嘉定区,121.27739135463527,31.332763302886313
育兰社区-西区,商务住宅,住宅区,121.281406,31.329387,上海市,上海市,嘉定区,121.27694710294548,31.331363320301744
马陆家电机电维修部,生活服务,其他,121.282088,31.33012,上海市,上海市,嘉定区,121.27762807385336,31.3320952703803
东方名意,生活服务,美容理发,121.282125,31.330224,上海市,上海市,嘉定区,121.27766501208053,31.332199189773544
乐立教育马陆分校,科教文化,培训单位,121.283785,31.330803,上海市,上海市,嘉定区,121.27932254056385,31.332776010383416
美格发艺,生活服务,美容理发,121.282252,31.330076,上海市,上海市,嘉定区,121.27779184274866,31.332051095604385
焓象出行电动车电池租赁销售,生活服务,其他,121.28225,31.329698,上海市,上海市,嘉定区,121.2777898778524,31.331673234910923
芳芳水果卖场,购物消费,市场,121.282352,31.329435,上海市,上海市,嘉定区,121.27789175374716,31.33141021128835
建平茶庄,购物消费,其他,121.28273,31.329167,上海市,上海市,嘉定区,121.27826923043115,31.33114186473181
挚达汽车公共充电站,汽车相关,充电站,121.28232,31.330753,上海市,上海市,嘉定区,121.27785968736191,31.33272777136852
中国电信营业厅上海公司嘉定局马陆分局,公司企业,公司,121.283294,31.330418,上海市,上海市,嘉定区,121.278832299667,31.33239174095073
飘蓝金银加工店,生活服务,其他,121.282373,31.32979,上海市,上海市,嘉定区,121.27791269326087,31.331765057992605
上海顺心酒店,酒店住宿,旅馆,121.283025,31.332632,上海市,上海市,嘉定区,121.27856350523233,31.334605263691234
格力空调,购物消费,家电数码,121.282881,31.332248,上海市,上海市,嘉定区,121.27841974810195,31.334221572617622
专用停车场,交通设施,停车场,121.28281,31.331112,上海市,上海市,嘉定区,121.27834894832795,31.333086065984542
世纪之春,旅游景点,广场,121.283306,31.331295,上海市,上海市,嘉定区,121.27884420721091,31.33326840974968
马陆邮政支局,生活服务,邮局,121.283119,31.332451,上海市,上海市,嘉定区,121.27865738312785,31.334424216842788
中国邮政储蓄银行,金融机构,银行,121.283133,31.332576,上海市,上海市,嘉定区,121.27867135195457,31.33454915523184
公厕,生活服务,公厕,121.282986,31.331053,上海市,上海市,嘉定区,121.27852469688753,31.333026878712786
上海农商银行,金融机构,银行,121.28301,31.331566,上海市,上海市,嘉定区,121.27854861807677,31.333539665130626
