名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
华茂训练基地,科教文化,其他,121.386567,31.334722,上海市,上海市,宝山区,121.38191250994187,31.33653181053992
教车匠,科教文化,其他,121.385202,31.334729,上海市,上海市,宝山区,121.38054860160581,31.33653975354933
上海彩虹驾驶学校,科教文化,其他,121.389235,31.336589,上海市,上海市,宝山区,121.38457846316038,31.338396510963513
华茂机动车驾驶员培训有限责任公司,科教文化,驾校,121.389414,31.336728,上海市,上海市,宝山区,121.38475733670984,31.338535362177556
ZMYW商用,购物消费,其他,121.383836,31.334589,上海市,上海市,宝山区,121.37918379248215,31.336400822145194
上海华茂机动车驾驶员培训有限责任公司,公司企业,公司,121.385724,31.334455,上海市,上海市,宝山区,121.38107019769798,31.33626548121068
上海华茂机动车驾驶员培训有限责任公司,科教文化,驾校,121.385691,31.334536,上海市,上海市,宝山区,121.3810372172927,31.336346475365602
阡陌学车,科教文化,其他,121.389088,31.336637,上海市,上海市,宝山区,121.38443155396486,31.33844457659877
飞凡驾培,科教文化,驾校,121.389316,31.336595,上海市,上海市,宝山区,121.38465941072764,31.338402463658323
金港驾驶学校,科教文化,驾校,121.389423,31.336682,上海市,上海市,宝山区,121.38476633502796,31.338489373525004
上海公交益地园林有限责任公司,公司企业,公司,121.389199,31.336524,上海市,上海市,宝山区,121.3845424920173,31.33833155419186
上海五汽驾驶员培训有限责任公司,科教文化,驾校,121.390051,31.336548,上海市,上海市,宝山区,121.38539395818718,31.338355082566704
华茂科目一考试考场,科教文化,其他,121.39005,31.336552,上海市,上海市,宝山区,121.38539295844092,31.33835908167356
西六房垃圾房,生活服务,其他,121.385224,31.331013,上海市,上海市,宝山区,121.38057090821766,31.332825071950495
开心驾考报名处,生活服务,其他,121.382905,31.334577,上海市,上海市,宝山区,121.37825364521574,31.33638956160846
车辆管理所科目二第二十四考试点,科教文化,其他,121.384994,31.335297,上海市,上海市,宝山区,121.38034072591944,31.337107701453892
星星超级市场,购物消费,便利店,121.384244,31.335225,上海市,上海市,宝山区,121.37959137595166,31.33703628350475
三哥花艺,公司企业,农林牧渔,121.390056,31.337348,上海市,上海市,宝山区,121.38539888517985,31.339154796420424
上海华茂基地摩托车考试场,科教文化,驾校,121.385986,31.334713,上海市,上海市,宝山区,121.38133196511819,31.336523207287637
上海九拍汽车修理工厂,汽车相关,汽车维修,121.382972,31.330809,上海市,上海市,宝山区,121.37832091197885,31.33262286124627
顾村机房,商务住宅,其他,121.389562,31.337772,上海市,上海市,宝山区,121.38490515203635,31.33957891128099
顾村镇白杨村西六房睦邻点,休闲娱乐,其他,121.385029,31.331025,上海市,上海市,宝山区,121.38037607001085,31.332837208452723
上海亚安机动车驾驶员培训有限责任公司,科教文化,其他,121.385364,31.335226,上海市,上海市,宝山区,121.38071042402069,31.33703646027838
顾村镇社区卫生中心白杨村卫生室,医疗保健,诊所,121.390212,31.337764,上海市,上海市,宝山区,121.38555475523697,31.33957056771724
鑫晟学车,汽车相关,其他,121.389423,31.33669,上海市,上海市,宝山区,121.38476633432812,31.338497370687453
上海乡城门业有限责任公司,公司企业,公司,121.3843,31.33555,上海市,上海市,宝山区,121.37964729858629,31.337361125454873
上海迎伟印务有限责任公司,公司企业,公司,121.384164,31.335889,上海市,上海市,宝山区,121.37951138807398,31.337700107760153
市政总院,公司企业,公司,121.382931,31.329,上海市,上海市,宝山区,121.37828010835891,31.330814549885424
中国五冶,公司企业,公司,121.382845,31.329093,上海市,上海市,宝山区,121.37819418076008,31.33090758557535
丰巢,生活服务,其他,121.389889,31.337782,上海市,上海市,宝山区,121.38523194865117,31.339588731335702
