名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
J Florist园艺,购物消费,花鸟鱼虫,121.489552,31.244836,上海市,上海市,虹口区,121.4850819931393,31.246830366665993
金山大楼,商务住宅,住宅区,121.490841,31.244812,上海市,上海市,虹口区,121.48637558304985,31.246810228234633
庆跃洋服,购物消费,其他,121.490718,31.244899,上海市,上海市,虹口区,121.48625213709533,31.2468968209068
墨笛植造所,生活服务,美容理发,121.489678,31.242668,上海市,上海市,黄浦区,121.48520862596183,31.244663724155004
Clarks,购物消费,其他,121.48937,31.242683,上海市,上海市,黄浦区,121.48489953068213,31.24467779897425
上海商业大厦健身中心,运动健身,健身中心,121.48986,31.244233,上海市,上海市,虹口区,121.48539113927394,31.246228558120542
停车场,交通设施,停车场,121.489464,31.244121,上海市,上海市,虹口区,121.48499374164254,31.246115427550762
维密养生保健SPA馆,生活服务,美容理发,121.489878,31.244376,上海市,上海市,虹口区,121.4854091910673,31.24637154716847
中国石化油站,生活服务,其他,121.487008,31.242903,上海市,上海市,黄浦区,121.48252915984978,31.24489068608538
香港路-道路停车场,交通设施,停车场,121.48728,31.242872,上海市,上海市,黄浦区,121.4828021206819,31.244860504878673
宿适精致酒店,酒店住宿,其他,121.487185,31.242594,上海市,上海市,黄浦区,121.48270680967465,31.244582349873696
中国石化第一油站,汽车相关,加油站,121.486224,31.243633,上海市,上海市,黄浦区,121.48174234127038,31.24561804021988
原新天安堂,旅游景点,景点,121.488337,31.243179,上海市,上海市,黄浦区,121.48386282712644,31.245170500155016
外滩源33-联合教堂,旅游景点,宗教,121.488415,31.243247,上海市,上海市,黄浦区,121.48394109732264,31.24523870107833
虎丘公寓,商务住宅,住宅区,121.487136,31.242963,上海市,上海市,黄浦区,121.4826576055063,31.244951037468514
洛克·外滩源,商务住宅,写字楼,121.487684,31.243178,上海市,上海市,黄浦区,121.48320751951853,31.245167562812558
兰心大楼,商务住宅,写字楼,121.487843,31.242677,上海市,上海市,黄浦区,121.4833671237418,31.24466726150366
中国石化,公司企业,其他,121.486788,31.242806,上海市,上海市,黄浦区,121.48230839387446,31.2447930797897
无障碍公厕,生活服务,公厕,121.487296,31.243703,上海市,上海市,黄浦区,121.48281810604115,31.24569117559148
公厕,生活服务,公厕,121.487206,31.243711,上海市,上海市,黄浦区,121.48272778818023,31.245698905594654
广学大楼,旅游景点,景点,121.487533,31.243023,上海市,上海市,黄浦区,121.48305599990796,31.245012185611635
真光大楼,商务住宅,其他,121.487784,31.242996,上海市,上海市,黄浦区,121.48330788812153,31.24498594181304
光陆大楼,商务住宅,写字楼,121.487665,31.243328,上海市,上海市,黄浦区,121.48318843963362,31.2453174385018
吉泰精品酒店,酒店住宿,其他,121.487073,31.242877,上海市,上海市,黄浦区,121.48259439095949,31.24486489011446
乍浦路桥,旅游景点,其他,121.487692,31.243901,上海市,上海市,黄浦区,121.4832154859643,31.24589025900121
外滩源33-原教会公寓,旅游景点,其他,121.488602,31.243134,上海市,上海市,黄浦区,121.48412876898573,31.245126308148247
香港路-路侧停车场,交通设施,停车场,121.486777,31.242767,上海市,上海市,黄浦区,121.4822973585129,31.244754064983745
南林青年酒店,酒店住宿,其他,121.486881,31.242576,上海市,上海市,黄浦区,121.4824017407618,31.244563459001988
牛肉粉丝汤馆,餐饮美食,中国菜,121.486307,31.242631,上海市,上海市,黄浦区,121.48182571833917,31.24461673927504
武汉热干面,餐饮美食,其他,121.486247,31.242608,上海市,上海市,黄浦区,121.48176550966147,31.244593572775372
Lights,餐饮美食,咖啡,121.488569,31.244637,上海市,上海市,虹口区,121.48409552371761,31.246628529654053
众安保险食堂,餐饮美食,其他,121.487763,31.243376,上海市,上海市,黄浦区,121.48328678149433,31.24536570727388
黄焖鸡米饭,餐饮美食,中国菜,121.486443,31.242726,上海市,上海市,黄浦区,121.48196218786568,31.244712097374794
上海苏宁宝丽嘉酒店地下专用停车场,交通设施,停车场,121.487266,31.244896,上海市,上海市,虹口区,121.48278789831892,31.246883547213525
