名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
Bz Station宝藏车库,汽车相关,其他,121.456907,31.350018,上海市,上海市,宝山区,121.45232310670988,31.351882427836742
上海众驰门窗有限责任公司,公司企业,公司,121.458373,31.350495,上海市,上海市,宝山区,121.45379309270872,31.352362654227267
BVS MOTO,汽车相关,其他,121.461245,31.348436,上海市,上海市,宝山区,121.45667339350177,31.350311187125925
光头林冷链物流有限责任公司,公司企业,公司,121.456913,31.351458,上海市,上海市,宝山区,121.45232899801054,31.353321954099126
上海钢新冶金辅料有限责任公司,公司企业,公司,121.46102,31.349847,上海市,上海市,宝山区,121.45644762405259,31.351721162461036
乐铭汽车修理有限责任公司,汽车相关,汽车维修,121.45871,31.350041,上海市,上海市,宝山区,121.45413106941955,31.351909596695247
优艺广告生产中心,公司企业,公司,121.457077,31.347428,上海市,上海市,宝山区,121.45249379434253,31.34929370002594
新三集体宿舍区,商务住宅,宿舍,121.458078,31.350288,上海市,上海市,宝山区,121.45349729367658,31.352155037074226
上海达申汽车服务有限责任公司,汽车相关,汽车维修,121.460497,31.348618,上海市,上海市,宝山区,121.45592323339535,31.350491321149335
上海达申汽车服务有限责任公司,汽车相关,其他,121.460451,31.348644,上海市,上海市,宝山区,121.45587709992687,31.350517201900228
京东京车会,汽车相关,其他,121.460721,31.348237,上海市,上海市,宝山区,121.45614790647437,31.350110989588412
乾斌仓库,公司企业,公司,121.459686,31.350203,上海市,上海市,宝山区,121.4551097938301,31.352073845491134
YOUNGEE汽车独立工作室,汽车相关,汽车养护,121.457037,31.349676,上海市,上海市,宝山区,121.45245349021074,31.351540841618004
丹拿汽车影音体验中心,汽车相关,汽车养护,121.457514,31.349595,上海市,上海市,宝山区,121.45293180102351,31.351460965984593
中谦仓库,公司企业,公司,121.459926,31.350059,上海市,上海市,宝山区,121.45535048509313,31.351930465356936
丰驰冷链,公司企业,公司,121.460236,31.351436,上海市,上海市,宝山区,121.45566124553892,31.353307739407295
琰赟贸易,公司企业,公司,121.456975,31.347444,上海市,上海市,宝山区,121.4523915151422,31.349309460825825
上海隆建汽车服务有限责任公司,汽车相关,汽车维修,121.460804,31.348289,上海市,上海市,宝山区,121.45623113958376,31.35016317173029
上海衡汽车辆修理有限责任公司,汽车相关,汽车维修,121.45697,31.347335,上海市,上海市,宝山区,121.45238651099586,31.349200486700898
上海九菱汽车修理有限责任公司,汽车相关,汽车维修,121.460956,31.348598,上海市,上海市,宝山区,121.4563835485918,31.350472432911435
智慧商业大厦,商务住宅,写字楼,121.458224,31.348642,上海市,上海市,宝山区,121.45364384044079,31.350509936533438
上海今凯实业有限责任公司,公司企业,公司,121.458765,31.350238,上海市,上海市,宝山区,121.45418620570562,31.352106658901
BVS Shanghai,公司企业,其他,121.461275,31.348504,上海市,上海市,宝山区,121.45670347402682,31.35037923662565
上海宝洋涂料工厂,公司企业,工厂,121.456947,31.349002,上海市,上海市,宝山区,121.45236330370551,31.35086686475154
上海建工谊建材料工程有限责任公司,公司企业,公司,121.457607,31.351606,上海市,上海市,宝山区,121.4530248816884,31.353471499607984
上海耿潮汽车服务有限责任公司,汽车相关,其他,121.460878,31.348298,上海市,上海市,宝山区,121.456305350864,31.350172347052602
鲸食冷藏超低温库,公司企业,工厂,121.457277,31.350843,上海市,上海市,宝山区,121.45269404380979,31.352707996869743
上海郑铭汽车服务有限责任公司大众工场,汽车相关,汽车维修,121.458117,31.35091,上海市,上海市,宝山区,121.45353634751932,31.35277691712148
上海两汇机电科技有限责任公司,公司企业,公司,121.457533,31.350425,上海市,上海市,宝山区,121.45295078109585,31.352290728152113
集配号良中行华东中心仓,公司企业,其他,121.457226,31.351426,上海市,上海市,宝山区,121.4526428538474,31.353290682551194
公厕,生活服务,公厕,121.457934,31.355475,上海市,上海市,宝山区,121.45335244586562,31.357339959690073
季家桥码头,交通设施,港口码头,121.457624,31.356561,上海市,上海市,宝山区,121.45304149824891,31.358424880928116
佰隆码头,交通设施,港口码头,121.461422,31.354394,上海市,上海市,宝山区,121.45685038734648,31.356267604245737
上海宝合实业股份有限公司扬子江码头,交通设施,港口码头,121.458761,31.355635,上海市,上海市,宝山区,121.45418172624396,31.357501836405827
洪发码头,交通设施,其他,121.458271,31.352442,上海市,上海市,宝山区,121.45369064088973,31.354308758835558
海冠食品经销部,餐饮美食,中国菜,121.457233,31.356189,上海市,上海市,宝山区,121.45264945945986,31.358052103385297
香辣馆,餐饮美食,中国菜,121.458177,31.356523,上海市,上海市,宝山区,121.45359602635835,31.358388176223077
蜀渝调料,购物消费,市场,121.45755,31.356469,上海市,上海市,宝山区,121.45296730307506,31.358332740547247
泉府调味品,购物消费,市场,121.457835,31.356307,上海市,上海市,宝山区,121.45325310072771,31.358171453481827
奇奇调味品配货中心,购物消费,市场,121.458432,31.356022,上海市,上海市,宝山区,121.45385177686077,31.357887937325195
花辉菌菇配送经销部,购物消费,市场,121.456883,31.356163,上海市,上海市,宝山区,121.45229850792708,31.35802530967451
乐佳调料商店,购物消费,市场,121.457581,31.356243,上海市,上海市,宝山区,121.4529984077778,31.35810688713762
江杨北路综合批发市场,购物消费,市场,121.456631,31.356003,上海市,上海市,宝山区,121.45204583802295,31.35786478761084
山东面店,餐饮美食,小吃快餐,121.458276,31.35645,上海市,上海市,宝山区,121.45369530689362,31.35831543110246
雷允上,医疗保健,医药销售,121.45825,31.356463,上海市,上海市,宝山区,121.45366923371762,31.358328366181567
跃知蔬菜经销部,购物消费,市场,121.456722,31.356193,上海市,上海市,宝山区,121.4521370681667,31.358054931966702
韩悦水产批发专卖,购物消费,市场,121.458104,31.356381,上海市,上海市,宝山区,121.45352283673388,31.358246053459478
江杨小吃,餐饮美食,中国菜,121.458361,31.356267,上海市,上海市,宝山区,121.45378055849497,31.358132690135047
瑞晨豪华酒店用品,购物消费,其他,121.457534,31.356557,上海市,上海市,宝山区,121.45295125153598,31.358420674424405
上海雄仔食品添加剂,购物消费,其他,121.458206,31.356101,上海市,上海市,宝山区,121.45362514326962,31.357966383857224
味佳鲜餐料配送,生活服务,其他,121.457875,31.356021,上海市,上海市,宝山区,121.45329323577907,31.357885641203072
福森茶叶,购物消费,其他,121.457532,31.356297,上海市,上海市,宝山区,121.45294926862168,31.358160756090786
上海马之鲜食品经销部,购物消费,市场,121.458155,31.356247,上海市,上海市,宝山区,121.45357398943206,31.358112216613105
一帆豪华酒店用品,购物消费,其他,121.457536,31.356458,上海市,上海市,宝山区,121.45295326561774,31.35832171188415
比目鱼系列批发部,购物消费,市场,121.460067,31.352453,上海市,上海市,宝山区,121.45549167722722,31.354323992684943
