OBJECTID,osm_id,code,fclass,name,Shape_Leng,Shape_Area
2,1919664,7202,park,世纪公园,0.0491054603315,0.000128432558865
3,10266313,7202,park,,0.0111716827008,4.84750960037e-06
4,10266362,7202,park,碧天体育公园,0.0202112267858,9.6108624153e-06
32,11764264,7202,park,,0.00339042094152,3.14926299738e-07
34,12271429,7202,park,徐家汇公园,0.0119694171653,7.49434460786e-06
41,29307987,7202,park,新虹桥中心花园,0.0174768304209,1.19675418556e-05
50,38872537,7202,park,,0.00363701787217,6.52417479299e-07
51,38873040,7202,park,田林中心绿地,0.00554300724556,1.31325574651e-06
53,39176862,7202,park,共青森林公园,0.0483281711723,0.000120335782911
54,39181064,7202,park,,0.00127674942005,1.01768049243e-07
55,39182199,7202,park,秋林爱晚,0.00679673339052,2.6759690758e-06
56,39763744,7202,park,人民公园,0.0135042978541,9.85462154671e-06
57,39961770,7202,park,复兴公园,0.011324353601,6.92054510212e-06
59,40779542,7202,park,陆家嘴绿地,0.0111067386606,7.98596983461e-06
