OBJECTID,osm_id,code,fclass,name,Shape_Leng,Shape_Area
9511,870907477,7202,park,,0.0104836587373,2.8802618778e-06
9512,870907478,7202,park,,0.00908776112779,2.96524493045e-06
9513,870907479,7202,park,,0.00694852515133,2.71589118941e-06
9514,870907480,7202,park,南翔污水处理厂,0.0139263655655,1.13722317865e-05
9525,870907492,7202,park,,0.00583497908561,8.70050730526e-07
9526,870907493,7202,park,,0.0096115830763,1.76271119597e-06
9527,870907494,7202,park,,0.0106461758958,1.12848819386e-06
9528,870907495,7202,park,,0.017265704557,2.81467223551e-06
9529,870907496,7202,park,,0.00503002613728,9.28596838099e-07
9530,870907497,7202,park,,0.00626927952506,8.75144974834e-07
9531,870907498,7202,park,,0.00757774493079,8.91745369594e-07
9532,870907499,7202,park,,0.00206896261663,1.47591025299e-07
9533,870907500,7202,park,,0.000847203445975,4.77135627059e-08
9534,870907501,7202,park,,0.00955871471303,1.62104999488e-06
9535,870907502,7202,park,,0.0232435361773,1.81270353906e-05
9536,870907504,7202,park,,0.0100637493669,6.10601993252e-06
9537,870907505,7202,park,,0.00592454409355,2.07039049169e-06
9538,870907506,7202,park,,0.00601707935173,2.31465500191e-06
9539,870907507,7202,park,,0.00759755002338,1.94036001274e-06
9540,870907508,7202,park,,0.0103491981786,3.78753448019e-06
9541,870907509,7202,park,,0.0106455162344,4.20740819249e-06
9542,870907510,7202,park,,0.00579479721897,2.08896523013e-06
9543,870907511,7202,park,,0.014140556769,4.26766250965e-06
9545,870907516,7202,park,,0.0291001041177,4.25662097663e-05
9546,870907517,7202,park,,0.00884509709435,4.76147656777e-06
9547,870907873,7202,park,,0.0129190233449,2.47194315615e-06
9548,871144474,7202,park,,0.00438530400559,6.03388295959e-07
9550,871144476,7202,park,,0.00730493000736,3.25551959999e-06
9551,871144477,7202,park,,0.0057679263445,9.71065513871e-07
9589,871166031,7202,park,,0.0238943772657,1.06584631005e-05
9590,871166032,7202,park,,0.0148198911626,4.46538953395e-06
9598,871175760,7202,park,,0.00365626987809,3.9583553466e-07
9599,871175761,7202,park,,0.00267744494034,3.54066885469e-07
9600,871175762,7202,park,,0.00315622418693,5.07639630427e-07
9601,871175765,7202,park,,0.0077119967794,8.48971157141e-07
9605,871503364,7202,park,,0.00651912577251,2.25135804431e-06
9606,871503365,7202,park,,0.00429806612819,1.13650729465e-06
9607,871503366,7202,park,,0.00805826253835,3.36916475289e-06
9634,871594141,7202,park,,0.0112709237226,1.68407402209e-06
9635,871594143,7202,park,,0.00762090031883,2.85542240685e-06
9638,871616155,7202,park,,0.00879685704415,4.89029767768e-06
9639,871616156,7202,park,,0.00539923796444,8.17306125686e-07
9640,871616157,7202,park,,0.00814103225432,1.66862554339e-06
9642,871712736,7202,park,,0.0152771492531,3.03227970938e-06
9643,871712737,7202,park,,0.0134680627487,6.93355374806e-06
9644,871712738,7202,park,,0.0059400684532,1.17109871758e-06
9645,871712741,7202,park,,0.00546348995939,9.29265594078e-07
9646,871712742,7202,park,,0.018843487573,1.45727830981e-05
9647,871712743,7202,park,,0.0109729631533,7.55633971467e-06
9648,871712744,7202,park,,0.00534274250971,1.57921750124e-06
9649,871712745,7202,park,,0.00378463466634,4.40183119228e-07
9650,871712746,7202,park,,0.0096515711913,1.62477504921e-06
9651,871712747,7202,park,,0.0126192764051,2.95018761342e-06
9652,871712748,7202,park,,0.00269362387909,4.06541220428e-07
9653,871712749,7202,park,,0.00247441285794,3.32046876439e-07
9654,871712750,7202,park,,0.00976732624667,1.44597263701e-06
9655,871712751,7202,park,,0.00226504591467,1.84699645795e-07
9656,871712752,7202,park,大华行知公园,0.00913137331628,4.55510648208e-06
9657,871712753,7202,park,,0.00202996985358,2.1403991125e-07
9658,871712754,7202,park,沪太公园,0.00506235203522,1.30863746271e-06
