POPID,pop_loc,population,Elderly_pe,accessibility_score,Lon,Lat,geometry_type,x,y,geometry_coordinates
39,"121.535321,31.30494",233.03268,0.16627,0.07153184497902672,121.535321,31.30494,Point,121.535321,31.30494,"[121.535321, 31.30494]"
40,"121.536219,31.30494",260.23441,0.16627,0.13577671927043197,121.536219,31.30494,Point,121.536219,31.30494,"[121.536219, 31.30494]"
41,"121.537117,31.30494",268.63226,0.16627,0.340194952618157,121.537117,31.30494,Point,121.537117,31.30494,"[121.537117, 31.30494]"
42,"121.538016,31.30494",505.1037,0.16627,0.2581904190202008,121.538016,31.30494,Point,121.538016,31.30494,"[121.538016, 31.30494]"
43,"121.538914,31.30494",452.59262,0.16627,0.3193837701128909,121.538914,31.30494,Point,121.538914,31.30494,"[121.538914, 31.30494]"
44,"121.539812,31.30494",259.78598,0.16627,0.31606533472417286,121.539812,31.30494,Point,121.539812,31.30494,"[121.539812, 31.30494]"
45,"121.54071,31.30494",257.85254,0.16627,0.4187597356297118,121.54071,31.30494,Point,121.54071,31.30494,"[121.54071, 31.30494]"
46,"121.541609,31.30494",316.57669,0.16627,0.5795102452427505,121.541609,31.30494,Point,121.541609,31.30494,"[121.541609, 31.30494]"
47,"121.542507,31.30494",459.89862,0.16627,0.5060760763171775,121.542507,31.30494,Point,121.542507,31.30494,"[121.542507, 31.30494]"
48,"121.543405,31.30494",433.53076,0.16627,0.4375320380994892,121.543405,31.30494,Point,121.543405,31.30494,"[121.543405, 31.30494]"
49,"121.525439,31.304042",100.57882,0.16627,2.7318678002692627,121.525439,31.304042,Point,121.525439,31.304042,"[121.525439, 31.304042]"
50,"121.526337,31.304042",141.23274,0.16627,1.6104575910075638,121.526337,31.304042,Point,121.526337,31.304042,"[121.526337, 31.304042]"
51,"121.527236,31.304042",192.84151,0.16627,1.199492691798262,121.527236,31.304042,Point,121.527236,31.304042,"[121.527236, 31.304042]"
52,"121.528134,31.304042",213.95671,0.16627,1.8232154721760394,121.528134,31.304042,Point,121.528134,31.304042,"[121.528134, 31.304042]"
53,"121.529032,31.304042",215.12474,0.16627,2.0818096971511237,121.529032,31.304042,Point,121.529032,31.304042,"[121.529032, 31.304042]"
54,"121.529931,31.304042",144.42476,0.16627,1.303351356307165,121.529931,31.304042,Point,121.529931,31.304042,"[121.529931, 31.304042]"
55,"121.530829,31.304042",113.76775,0.16627,0.6896387082775268,121.530829,31.304042,Point,121.530829,31.304042,"[121.530829, 31.304042]"
56,"121.531727,31.304042",177.79675,0.16627,1.1515530665034748,121.531727,31.304042,Point,121.531727,31.304042,"[121.531727, 31.304042]"
57,"121.532626,31.304042",240.39485,0.16627,0.24805724936036436,121.532626,31.304042,Point,121.532626,31.304042,"[121.532626, 31.304042]"
58,"121.533524,31.304042",275.91748,0.16627,0.5092172074055737,121.533524,31.304042,Point,121.533524,31.304042,"[121.533524, 31.304042]"
59,"121.534422,31.304042",323.5025,0.16627,0.2978929064104548,121.534422,31.304042,Point,121.534422,31.304042,"[121.534422, 31.304042]"
60,"121.535321,31.304042",263.44778,0.16627,0.4493686724719644,121.535321,31.304042,Point,121.535321,31.304042,"[121.535321, 31.304042]"
61,"121.536219,31.304042",201.25719,0.16627,0.3779868290755478,121.536219,31.304042,Point,121.536219,31.304042,"[121.536219, 31.304042]"
62,"121.537117,31.304042",189.93605,0.16627,0.13918816594427313,121.537117,31.304042,Point,121.537117,31.304042,"[121.537117, 31.304042]"
63,"121.538016,31.304042",376.43954,0.16627,0.2782409344181198,121.538016,31.304042,Point,121.538016,31.304042,"[121.538016, 31.304042]"
64,"121.538914,31.304042",431.65546,0.16627,0.2779557025244499,121.538914,31.304042,Point,121.538914,31.304042,"[121.538914, 31.304042]"
